Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Tiempo
68218.10522295299,9693.906866777763,-68.19517233314185,-41266.28235176591,-23204.977596399498,-60437.61944027179,-27066.375561520526,79717.5189515971,0.32
68220.2509904207,9704.546297138488,-62.607236219315084,-41256.380528972215,-23198.048555618356,-60428.29876283393,-27057.88189862751,79729.18656220277,0.324
68214.08190895103,9706.289733206002,-70.65386422322563,-41265.27652326543,-23207.16806735612,-60437.55238503843,-27070.35417203357,79718.59183533095,0.328
68202.72722276775,9679.557046837455,-61.73551818555811,-41260.06856680734,-23198.29442480736,-60432.1656146247,-27064.60977370856,79723.86684702241,0.332
68214.97597872926,9688.877724275319,-104.60616405083705,-41297.75360795899,-23237.74525377098,-60463.614519073315,-27094.874035701043,79686.49473029313,0.336
68220.27334216516,9707.653189617777,-107.44483559666105,-41292.858575923274,-23237.231163648506,-60455.79140851396,-27085.151026862983,79688.97577392767,0.34
68212.33847288352,9709.06134951846,-102.90743147223371,-41285.817776419855,-23230.36917810073,-60446.403675842725,-27077.819654681643,79694.20608213021,0.344
68204.4483070908,9685.055575973462,-116.49729210106041,-41299.452340537595,-23240.561573572348,-60457.26662364801,-27094.248186856294,79680.75033196811,0.348
68210.77385077166,9679.19941892617,-142.96175753614398,-41320.59709079231,-23263.583870361315,-60470.54355985446,-27108.106268418585,79661.46077650318,0.352
68220.4521561208,9693.862163288852,-136.97149002212169,-41310.6505645097,-23255.112559212754,-60458.38421087077,-27094.22583511184,79674.33538130944,0.356
68218.17227818636,9698.623084857833,-126.91320501723351,-41299.161767859674,-23244.763701529944,-60449.37645785528,-27082.73703846181,79684.03603840305,0.36
68197.42985933184,9675.15375317976,-104.80732975093481,-41281.01215136196,-23222.434308819094,-60435.89835594873,-27068.45427375487,79701.26923337809,0.364
68199.91090296637,9670.616349055332,-109.05416119744316,-41283.56025022987,-23222.188439630085,-60440.79338798444,-27074.332782546615,79698.45291357672,0.368
68234.04201674963,9706.82617507293,-152.08126927390924,-41321.33469835934,-23262.39922790518,-60471.1247052103,-27106.854570729087,79658.21977355717,0.372
